record_id,strategy_sus,strategy_fs,strategy_nut
LEX-FAOC003158,0.1625553631830611,0.32801532665286876,0.3403953230671505
LEX-FAOC003162,0.18077544971605766,0.3637058282322234,0.21026837061904627
LEX-FAOC003224,0.1699409562535774,0.39346985865349865,0.32446186616237305
LEX-FAOC003268,0.09467460527059743,0.27995466624938387,0.31096596529338105
LEX-FAOC003288,0.19246244833858603,0.16317297996840313,0.18818988513087773
LEX-FAOC003297,0.1022841321961768,0.33582559802268525,0.30548178049822333
LEX-FAOC003342,0.0041048857456642196,0.2017248154024256,0.28243450916904683
LEX-FAOC003343,0.049954320225005074,0.22551694831809332,0.2815055727613331
LEX-FAOC003351,0.18095947916935076,0.19551344171751225,0.1427912646388669
LEX-FAOC003396,0.040875837033657596,0.15324263370431612,0.34275160469298493
LEX-FAOC003403,0.06785210905159388,0.27201174446103177,0.2631036082699695
LEX-FAOC003429,0.16409481611636173,0.15097259802944102,0.1808406118499835
LEX-FAOC003491,0.1363763875081279,0.25687132533042556,0.26424670778017334
LEX-FAOC003527,0.24476019924380016,0.31642817048718963,0.2166647941895885
LEX-FAOC003544,0.14655503284399893,0.2815738967748413,0.24317171699345275
LEX-FAOC003573,0.07408456587614022,0.2622768887529146,0.267669337755313
LEX-FAOC003574,0.027582995156004732,0.22383626036531265,0.27256459044956255
LEX-FAOC003615,0.08056103005956182,0.24669326062798247,0.26398302340946067
LEX-FAOC003669,0.16272571540897826,0.17832518161032407,0.10187496615570482
LEX-FAOC003671,-0.0406089483509909,0.13002262720177507,0.10124910303018095
LEX-FAOC003691,0.07055184444312447,0.2125489381960687,0.18137130403199803
LEX-FAOC003693,0.02817035985694039,0.09650589545443537,0.15330705461183466
LEX-FAOC003700,0.12189097790088392,0.35883069338616863,0.3077515021860491
LEX-FAOC003701,0.12584285284148072,0.23819779673700608,0.1787341609181652
LEX-FAOC003703,0.11064798436589746,0.25054927393204646,0.2548972670164047
LEX-FAOC003704,0.07598606692915026,0.2806191774938442,0.2949680953877138
LEX-FAOC003713,0.15728066586952105,0.33992500301832446,0.3054018161507734
LEX-FAOC003717,0.06098580671599995,0.2697779657433251,0.17627018719514556
LEX-FAOC003718,0.045129918937455195,0.08118420026146378,0.12276808838474265
LEX-FAOC003720,0.04770416809134177,0.2568523068805082,0.23368489899457467
LEX-FAOC003751,0.02170723868287479,0.07800761621961892,0.036986883334503944
LEX-FAOC003766,0.09874894566298181,0.3123985811218473,0.29606705228075003
LEX-FAOC003767,0.13627918142960405,0.1928370414884193,0.12031356617147355
LEX-FAOC003789,0.12723733302022147,0.3264948622399288,0.1856153597030595
LEX-FAOC003792,0.0589567922418467,0.2746814482653467,0.24200409131443898
LEX-FAOC003803,0.24562695101425555,0.48947445479923724,0.4349217829119194
LEX-FAOC003804,-0.07523246319665396,-0.022909551873036036,-0.025673725491770293
LEX-FAOC003806,0.0984354262724392,0.07999344806956424,0.14614834977091695
LEX-FAOC003807,0.058298451990662505,0.20804692182777465,0.15116646480455506
LEX-FAOC003811,0.0984354262724392,0.07999344806956424,0.14614834977091695
LEX-FAOC003813,0.1774458798444592,0.38682580333056976,0.26338018275492975
LEX-FAOC003823,0.055056864274314346,0.2447447790161486,0.2505961039288648
LEX-FAOC003826,0.05068075043142464,0.22057266474403084,0.22295634658332927
LEX-FAOC003828,0.056022673964027166,0.18569774370524972,0.15410669878029287
LEX-FAOC003830,0.12595005215774263,0.15376323262535002,0.10292867909042541
LEX-FAOC003831,0.005768023339481969,0.2816959775710558,0.185028615059702
LEX-FAOC003882,0.09180117970222333,0.18707477946268222,0.24635242924260342
LEX-FAOC003885,0.11699643923243154,0.14086252705562094,0.13380098357390985
LEX-FAOC003983,0.17063602283443793,0.340875254492962,0.28758558245312427
LEX-FAOC003991,0.15305500761158208,0.39267993671904067,0.36858386221552014
LEX-FAOC003999,0.15830197099494825,0.3547632958215433,0.32449142478170173
LEX-FAOC004065,0.07739437697412288,0.265921886816551,0.30149541808856556
LEX-FAOC004083,0.04468699474978853,0.2807789644135211,0.30961242082541296
LEX-FAOC004085,0.10835734329031595,0.32339993011967405,0.2920880429569806
LEX-FAOC004087,0.16831455031510667,0.26610415587568487,0.2160493937438514
LEX-FAOC004159,0.12733425734558554,0.3579210072836541,0.2739636603479086
LEX-FAOC004161,0.16141226005547574,0.3768169762027477,0.3691294080888454
LEX-FAOC004268,0.10095306600240249,0.21306945527092022,0.17506480990383924
LEX-FAOC004273,0.11391848550239096,0.3241100440792174,0.22641638350173998
LEX-FAOC004309,0.16808633116071411,0.24118096648514536,0.19658406996216174
LEX-FAOC004338,0.09927020590808369,0.19400861186771315,0.1156745428699914
LEX-FAOC004351,0.19161645615686765,0.3154143958095272,0.27272622683688474
LEX-FAOC004375,0.17009162384787666,0.2990867281756354,0.16847869406835309
LEX-FAOC004385,0.1534792577929436,0.22771446258022845,0.1506259154389062
LEX-FAOC004413,0.07257217800896278,0.09434426320963914,0.18986176240648892
LEX-FAOC004420,0.22640705870327343,0.4701228520414428,0.34158925359236086
LEX-FAOC004424,0.10923986878455005,0.3161595479246482,0.19290456745767662
LEX-FAOC004443,0.14164286976448084,0.25005654068914185,0.2503235498745751
LEX-FAOC004454,0.06243739241096217,0.21359635394140217,0.20830392136407727
LEX-FAOC004580,0.17628724556697087,0.43112985428873674,0.3846393108747878
LEX-FAOC004595,0.17881983229037307,0.31749057969598243,0.27743826845626945
